topic_num,keywords,sample_feedback_1,sample_feedback_2,sample_feedback_3
0,0_financial_im_health_medical, The course fees and textbook costs are way too high. I can barely afford to pay for everything and it's causing me a lot of stress., The cost of attending this university is outrageous. I don't know how I'm going to afford it., The course fees are too high for what we're getting. We're not getting our money's worth.
1,1_cafeteria_campus_options_food,"8. ""I really enjoy exploring new neighborhoods and trying new restaurants, but it can be tough to find affordable options. It would be great if the university offered a foodie club or something similar.""","1. ""I am disappointed with the food options available on campus. There are not enough healthy options, and the quality of the food is subpar.""","2. ""The cafeteria on campus is always crowded, and it's difficult to find a seat during peak hours. The university should consider expanding the cafeteria or adding additional dining areas."""
2,2_international_language_cultural_sometimes,"1. As an international student, I find it difficult to communicate with my peers because of the language barrier. It's frustrating because I want to be involved in group projects and extracurricular activities, but I struggle to express myself properly.""","2. ""I feel like there is a cultural gap between me and my classmates. Sometimes I don't understand the references they make or the way they approach certain topics. It makes it hard to feel like I'm truly part of the community.""","3. ""I wish there were more opportunities for international students to connect with each other. It can be comforting to talk to someone who understands the unique challenges we face, and it would help us feel less isolated."""
3,3_online_classes_made_it,I'm an international student and I'm having trouble accessing some of the online resources because of regional restrictions. It's frustrating to feel like I'm missing out because of where I'm from.,The online learning experience has been difficult due to poor internet connectivity and frequent technical difficulties.,Limited access to online resources has made it difficult to complete assignments and stay on track with coursework.
4,4_job_opportunities_field_internships,There seems to be a scarcity of available internships and job openings in my field of study.,There seems to be a scarcity of available internships and job openings in my field of study.,I'm having a hard time finding suitable job opportunities that align with my career goals.
5,5_workload_academic_and_anxiety, The workload for this course is overwhelming. I don't have enough time to complete everything and it's affecting my other classes.,"I'm finding the academic workload really overwhelming, and it's been a struggle to keep up with all the assignments.","Lack of sleep and fatigue has been a real issue for me lately, and it's been affecting my ability to focus and stay motivated."
6,6_transportation_bus_public_get,"11. ""I feel like I have to work twice as hard as other students just to keep up. It's exhausting and stressful, and sometimes I wonder if it's even worth it.""","2. ""I've had to commute from the suburbs to the university every day, and the public transportation system is just not reliable enough. I've been late to class several times because of delays and cancellations.""","3. ""Finding a parking spot on campus is nearly impossible, and the parking fees are exorbitant. It's just not worth it to bring my car to school."""
7,7_research_databases_access_materials,The limited access to research databases and materials is causing a lot of frustration among students. We need better access to be able to succeed academically.,It's frustrating to have limited access to research databases and materials when I'm trying to write a paper or do a project. I feel like I'm at a disadvantage compared to students at other schools.,I wish there were more opportunities to access research databases and materials outside of the library. It would be nice to have more options and flexibility.
8,8_university_should_job_more,The lack of available networking opportunities makes it difficult to connect with professionals in my desired field.,The university needs to do more to provide networking opportunities for students to connect with alumni and other professionals.,The career services office should offer more resources to help students navigate the job market and find suitable employment.
9,9_housing_rent_affordable_just,"1. ""The cost of rent in the area around the university is just too high, and it's really hard to find affordable housing that's also close to campus.""","4. ""The apartments in the university area are often run-down and poorly maintained, which makes it difficult to focus on studying when I'm living in such a stressful environment.""","7. ""I've been looking for affordable housing near campus for months, but everything is either too expensive or too far away. It's discouraging and I'm not sure what to do."""
10,10_course_this_professor_material, I am really struggling with understanding the instructions for this assignment. They are not clear and I don't know what is expected of me., The grading system in this course is unfair and inconsistent. It seems like the professor is picking favorites and not giving everyone a fair shot., I wish my professor would give us more feedback on our assignments. I don't know what I'm doing wrong and I can't improve without constructive criticism.
11,11_been_my_work_time,I've been struggling with my time management skills lately and it's been affecting my grades. I really need to get better at prioritizing my tasks.,"Balancing work and academic responsibilities has been a real challenge for me, and I often feel like I'm being pulled in two different directions.","I'm finding it difficult to balance my extracurricular activities with my academic work, and I'm often left feeling stressed and overwhelmed."
12,12_affairs_office_student_certificate,"""I recently applied for a military certificate through the student affairs office, but it's been weeks and I haven't received any update on the status of my application.""","""The student affairs office seems to be disorganized and inefficient when it comes to managing birth certificates. I had to make multiple trips to their office just to get mine processed.""","""I need my training certificate for an internship opportunity, but the student affairs office keeps giving me the runaround and hasn't provided any clear timeline for when I can expect to receive it."""
13,13_software_technology_access_limited,Limited access to technology and software is hindering my ability to do my coursework. I can't afford to buy expensive programs on my own.,"I'm having trouble with a particular software program for one of my classes, but there's no one available to help me troubleshoot. It's frustrating to feel like I'm on my own.",I'm a student with a disability and I'm having trouble accessing the technology and software I need to do my coursework. It's frustrating to feel like my needs aren't being accommodated.
14,14_cantine_offer_should_options,"3. ""The sandwiches available in the cantine are always stale.""","6. ""The pizza available in the cantine is terrible.""","10. ""The cantine should offer more gluten-free options."""
15,15_materials_accessing_course_difficulty,I'm having trouble finding the course materials I need for my classes. The library doesn't have them and the bookstore is always sold out.,It's really difficult to find the course materials I need for my classes because they're spread out across so many different resources. I wish there was a more streamlined system.,I wish there were more options for accessing course materials online so that I don't have to physically go to the library or bookstore every time I need something.
16,16_food_unable_have_hall,10. There are not enough halal or kosher options available.,12. The food is not cooked to my liking.,13. The food is not served hot enough.
17,17_eligibility_requirements_athletic_sports, I'm having trouble meeting the athletic eligibility requirements because of a schedule conflict with one of my classes. I wish there was more flexibility.,I'm having trouble meeting the athletic eligibility requirements because of a schedule conflict with one of my classes. I wish there was more flexibility.,I feel like the athletic eligibility requirements are too strict and prevent many students from participating in sports.
18,18_great_interested_new_would,"2. ""I'm really interested in trying out some new outdoor activities, but I don't know where to start. It would be great if the university offered more organized trips and activities, like hiking or kayaking, so that I could explore the area with other students.""","4. ""I'm from out of town, and I'm having a hard time finding my way around the city. It would be great if the university offered more orientation sessions or tours for new students, so that we could feel more confident and comfortable navigating the area.""","7. ""I love exploring new places and trying new things, but it's hard to find the time and money to do so while I'm in school. It would be great if there were more affordable and accessible travel options for students, like student discounts on airfare or organized weekend trips."""
19,19_advisors_academic_access_plan,I'm really struggling in one of my classes but I can't get an appointment with my academic advisor for weeks. It's making me feel like no one cares about my success.,It's frustrating to have limited access to academic advisors because they're the ones who can help me plan my degree and make sure I'm on track to graduate.,Limited access to academic advisors is making me feel like I'm on my own when it comes to making important academic decisions.
